,Unnamed: 0.2,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_contribution_value,statistic_rating_contribution_value
0,394,53620.0,0.0,0.0,28.0,28.0,3857290.0,773.0,29012.0,Eray Ervin Cömert,Eray Cömert,18.0,False,0.0,Substitute,7.0,233885.0,E. Cömert,Eray Cömert,1998-02-04,21.0,182.88,79.8,CB,Switzerland,63.0,76.0,625000.0,3000.0,Right,1.0,4.0,2.0,Medium/ Medium,Normal,1300000.0,FC Basel 1893,73.0,SUB,4.0,2016-03-13,2020,,,,,29.0,18.0,59.0,53.0,26.0,25.0,25.0,27.0,43.0,64.0,65.0,69.0,62.0,56.0,62.0,41.0,80.0,69.0,74.0,20.0,55.0,55.0,33.0,32.0,35.0,51.0,60.0,64.0,63.0,6.0,8.0,5.0,7.0,6.0,,,43+2,43+2,43+2,42+2,42+2,42+2,42+2,42+2,43+2,43+2,43+2,44+2,47+2,47+2,47+2,44+2,55+2,57+2,57+2,57+2,55+2,58+2,61+2,61+2,61+2,58+2,7.0,7.059289779061455,90.76229715936157
1,984,23356.0,0.0,0.0,7.0,7.0,3753973.0,33.0,3957.0,César Azpilicueta Tanco,César Azpilicueta,28.0,True,6.0,Left Back,101.0,184432.0,Azpilicueta,César Azpilicueta Tanco,1989-08-28,29.0,152.4,76.2,"RB,CB",Spain,86.0,86.0,35000000.0,175000.0,Right,3.0,3.0,2.0,Medium/ Medium,Normal,64800000.0,Chelsea,83.0,RB,28.0,2012-08-24,2022,Spain,85.0,SUB,14.0,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,76.0,72.0,88.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,88.0,90.0,86.0,13.0,9.0,10.0,6.0,5.0,"#Tackling ,#Tactician ","Long Throw-in,Injury Free,Early Crosser,Long Passer (CPU AI Only),Team Player",67+3,67+3,67+3,71+3,70+3,70+3,70+3,71+3,72+3,72+3,72+3,74+3,77+3,77+3,77+3,74+3,83+3,83+3,83+3,83+3,83+3,84+3,83+3,83+3,83+3,84+3,45.0,39.32793456025354,78.65586912050708
2,1412,7.0,0.0,0.0,2.0,2.0,15946.0,217.0,5211.0,Jordi Alba Ramos,Jordi Alba,18.0,True,6.0,Left Back,92.0,189332.0,Jordi Alba,Jordi Alba Ramos,1989-03-21,29.0,170.18,68.0,LB,Spain,87.0,87.0,38000000.0,250000.0,Left,3.0,3.0,3.0,High/ Medium,Normal,77900000.0,FC Barcelona,86.0,LB,18.0,2012-07-01,2024,Spain,85.0,LB,18.0,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,77.0,84.0,80.0,76.0,59.0,82.0,74.0,84.0,84.0,13.0,15.0,13.0,6.0,13.0,"#Speedster,#Crosser,#Acrobat",Beat Offside Trap,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,180.0,98.49967217244671,49.249836086223354
3,1354,1075.0,0.0,0.0,6.0,6.0,16023.0,207.0,6583.0,Carlos Soler Barragán,Carlos Soler,8.0,True,12.0,Right Midfield,93.0,234153.0,Carlos Soler,Carlos Soler Barragán,1997-01-02,22.0,154.94,76.2,"RM,CM",Spain,80.0,87.0,21000000.0,31000.0,Right,1.0,4.0,4.0,Medium/ Medium,Lean,48300000.0,Valencia CF,80.0,RM,8.0,2015-07-01,2021,,,,,79.0,74.0,56.0,84.0,66.0,80.0,69.0,82.0,77.0,82.0,75.0,77.0,75.0,80.0,73.0,77.0,59.0,78.0,65.0,73.0,49.0,68.0,76.0,83.0,73.0,76.0,60.0,65.0,56.0,6.0,14.0,7.0,13.0,11.0,,Early Crosser,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,79+2,73+2,71+2,71+2,71+2,73+2,70+2,64+2,64+2,64+2,70+2,42.0,22.31828758916176,47.824901976775195
4,441,51173.0,0.0,0.0,1.0,1.0,3857260.0,799.0,5188.0,Hattan Babhir,,19.0,False,0.0,Substitute,10.0,208974.0,H. Bahebri,Hattan Bahebri,1992-07-16,26.0,170.18,67.1,"LM,RM",Saudi Arabia,68.0,69.0,1100000.0,14000.0,Left,1.0,4.0,4.0,High/ Low,Normal,1900000.0,Al Hilal,74.0,SUB,27.0,2019-02-01,2022,,,,,65.0,62.0,48.0,64.0,55.0,70.0,69.0,48.0,60.0,68.0,80.0,74.0,81.0,63.0,76.0,71.0,65.0,67.0,62.0,65.0,55.0,42.0,67.0,65.0,42.0,55.0,46.0,43.0,50.0,10.0,7.0,12.0,12.0,9.0,,Technical Dribbler (CPU AI Only),64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,66+2,66+2,66+2,67+2,62+2,62+2,62+2,67+2,59+2,55+2,55+2,55+2,59+2,57+2,51+2,51+2,51+2,57+2,3.0,1.5572675056799796,46.718025170399386
5,393,53664.0,0.0,0.0,25.0,25.0,3857291.0,795.0,15477.0,Ronald Alberto Matarrita Ulate,Ronald Matarrita,22.0,False,0.0,Substitute,17.0,232230.0,R. Matarrita,Ronald Alberto Matarrita Ulate,1994-07-09,24.0,175.26,69.9,"LB,LM",Costa Rica,71.0,78.0,2800000.0,5000.0,Left,1.0,2.0,3.0,Medium/ High,Normal,4800000.0,New York City FC,69.0,SUB,22.0,2016-01-20,2021,,,,,65.0,38.0,59.0,67.0,32.0,70.0,60.0,54.0,63.0,69.0,84.0,82.0,75.0,64.0,75.0,70.0,74.0,76.0,64.0,52.0,71.0,66.0,64.0,67.0,59.0,59.0,66.0,72.0,68.0,15.0,7.0,8.0,8.0,6.0,,"Injury Prone,Early Crosser",61+2,61+2,61+2,65+2,64+2,64+2,64+2,65+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,67+2,69+2,67+2,67+2,67+2,69+2,69+2,67+2,67+2,67+2,69+2,17.0,8.322829357350207,44.06203777420698
6,424,52170.0,0.0,0.0,16.0,16.0,3857268.0,1833.0,11187.0,Stephen Antunes Eustáquio,,7.0,True,11.0,Left Defensive Midfield,84.0,242380.0,Stephen Eustáquio,Stephen Antunes Eustáquio,1996-12-21,22.0,152.4,68.0,"CDM,CM",Portugal,73.0,84.0,6000000.0,13000.0,Right,1.0,3.0,2.0,Medium/ Medium,Lean,11400000.0,Cruz Azul,72.0,SUB,3.0,2019-01-17,2020,,,,,70.0,53.0,55.0,76.0,55.0,71.0,71.0,51.0,73.0,72.0,66.0,63.0,70.0,73.0,73.0,70.0,76.0,81.0,65.0,65.0,67.0,72.0,60.0,72.0,64.0,75.0,67.0,72.0,64.0,14.0,12.0,15.0,11.0,5.0,,,63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,69+2,69+2,69+2,69+2,71+2,71+2,71+2,69+2,71+2,71+2,71+2,71+2,71+2,69+2,67+2,67+2,67+2,69+2,84.0,38.281825890635226,41.0162420256806
7,1331,1685.0,0.0,0.0,25.0,25.0,16073.0,212.0,6765.0,Rodrigo Hernández Cascante,Rodri,14.0,True,13.0,Right Center Midfield,96.0,231866.0,Rodri,Rodrigo Hernández Cascante,1996-06-22,22.0,190.5,82.1,"CM,CDM",Spain,82.0,87.0,29000000.0,59000.0,Right,1.0,3.0,4.0,Medium/ Medium,Lean,61600000.0,Atlético Madrid,84.0,RCM,14.0,2018-07-01,2023,Spain,85.0,SUB,16.0,63.0,64.0,75.0,84.0,59.0,77.0,65.0,54.0,80.0,82.0,70.0,66.0,69.0,80.0,72.0,70.0,69.0,82.0,75.0,76.0,63.0,81.0,75.0,83.0,46.0,83.0,71.0,79.0,74.0,10.0,10.0,7.0,14.0,8.0,,,73+2,73+2,73+2,74+2,76+2,76+2,76+2,74+2,78+2,78+2,78+2,75+2,80+2,80+2,80+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,75+2,75+2,298.0,124.66815074534446,37.65145492309061
8,1228,5535.0,0.0,0.0,0.0,0.0,22912.0,38.0,3043.0,Christian Dannemann Eriksen,Christian Eriksen,23.0,True,17.0,Right Wing,97.0,190460.0,C. Eriksen,Christian  Dannemann Eriksen,1992-02-14,27.0,154.94,76.2,"CAM,RM,CM",Denmark,88.0,89.0,69500000.0,205000.0,Right,3.0,5.0,4.0,High/ Medium,Lean,133800000.0,Tottenham Hotspur,83.0,LCM,23.0,2013-08-30,2020,Denmark,78.0,CAM,10.0,88.0,81.0,52.0,91.0,80.0,84.0,86.0,87.0,89.0,91.0,76.0,73.0,80.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,84.0,91.0,67.0,88.0,59.0,57.0,22.0,9.0,14.0,7.0,7.0,6.0,"#Playmaker  ,#Crosser,#FK Specialist,#Complete Midfielder","Flair,Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only),Takes Finesse Free Kicks",79+3,79+3,79+3,85+3,84+3,84+3,84+3,85+3,86+3,86+3,86+3,86+3,85+3,85+3,85+3,86+3,71+3,71+3,71+3,71+3,71+3,66+3,57+3,57+3,57+3,66+3,201.0,81.80829808195074,36.63058123072421
9,1246,4669.0,0.0,0.0,21.0,21.0,18240.0,180.0,10287.0,İlkay Gündoğan,,8.0,True,11.0,Left Defensive Midfield,94.0,186942.0,I. Gündoğan,İlkay Gündoğan,1990-10-24,28.0,154.94,79.8,"CM,CDM",Germany,84.0,84.0,32000000.0,175000.0,Right,3.0,4.0,4.0,High/ Medium,Normal,59200000.0,Manchester City,85.0,SUB,8.0,2016-07-01,2020,Germany,85.0,SUB,21.0,74.0,74.0,50.0,88.0,75.0,85.0,81.0,74.0,84.0,86.0,67.0,68.0,78.0,85.0,78.0,77.0,61.0,69.0,72.0,73.0,70.0,77.0,79.0,86.0,76.0,87.0,72.0,68.0,64.0,11.0,14.0,5.0,5.0,13.0,#Playmaker  ,"Injury Prone,Flair,Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",75+3,75+3,75+3,79+3,80+3,80+3,80+3,79+3,82+3,82+3,82+3,80+3,82+3,82+3,82+3,80+3,75+3,77+3,77+3,77+3,75+3,72+3,70+3,70+3,70+3,72+3,127.0,51.64917802334047,36.60177970157986
