,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_contribution_value,statistic_rating_contribution_value
0,1699,0,0,1.0,1.0,3788741.0,914.0,6964.0,Alessandro Florenzi,,24.0,True,2.0,Right Back,45.0,200810.0,A. Crescenzi,Alessandro Crescenzi,1991-09-25,27.0,152.4,71.2,"LB,RB",Italy,70.0,71.0,1700000.0,3000.0,Right,1.0,4.0,2.0,Medium/ Medium,Normal,2800000.0,Hellas Verona,71.0,SUB,17.0,2018-07-13,2021,,,,,64.0,31.0,59.0,62.0,38.0,61.0,56.0,32.0,55.0,66.0,80.0,78.0,81.0,67.0,80.0,61.0,84.0,91.0,74.0,30.0,75.0,61.0,34.0,35.0,32.0,59.0,65.0,65.0,69.0,13.0,11.0,11.0,10.0,5.0,,,53+2,53+2,53+2,57+2,54+2,54+2,54+2,57+2,54+2,54+2,54+2,60+2,56+2,56+2,56+2,60+2,68+2,64+2,64+2,64+2,68+2,68+2,66+2,66+2,66+2,68+2,6.0,18.099565038602663,271.4934755790399
1,2037,0,0,13.0,13.0,3788772.0,768.0,12423.0,Jadon Sancho,,17.0,False,0.0,Substitute,10.0,233049.0,J. Sancho,Jadon Sancho,2000-03-25,18.0,154.94,76.2,"RM,LM",England,79.0,91.0,21000000.0,26000.0,Right,2.0,4.0,5.0,Medium/ Low,Lean,39900000.0,Borussia Dortmund,81.0,RM,7.0,2017-08-31,2022,,,,,72.0,73.0,38.0,76.0,74.0,89.0,77.0,48.0,54.0,86.0,88.0,87.0,90.0,78.0,88.0,65.0,49.0,67.0,53.0,49.0,41.0,28.0,71.0,77.0,57.0,73.0,30.0,33.0,36.0,7.0,11.0,10.0,11.0,13.0,"#Dribbler,#Acrobat","Flair,Technical Dribbler (CPU AI Only)",71+2,71+2,71+2,79+2,77+2,77+2,77+2,79+2,77+2,77+2,77+2,78+2,69+2,69+2,69+2,78+2,60+2,53+2,53+2,53+2,60+2,55+2,43+2,43+2,43+2,55+2,14.0,22.15055635021546,142.39643367995654
2,1851,0,0,11.0,11.0,3788747.0,915.0,8931.0,Philipp Lienhart,,15.0,False,0.0,Substitute,51.0,204763.0,P. Steinhart,Phillipp Steinhart,1992-07-07,26.0,182.88,69.9,"LB,LM",Germany,67.0,69.0,750000.0,3000.0,Left,1.0,3.0,2.0,Medium/ Medium,Normal,1100000.0,TSV 1860 München,63.0,LM,36.0,2017-08-10,2021,,,,,72.0,47.0,59.0,65.0,51.0,59.0,73.0,76.0,70.0,65.0,74.0,73.0,71.0,49.0,69.0,66.0,72.0,79.0,67.0,57.0,62.0,63.0,53.0,62.0,59.0,59.0,58.0,62.0,68.0,10.0,14.0,9.0,15.0,12.0,,"Long Passer (CPU AI Only),Set Play Specialist,Takes Finesse Free Kicks",58+2,58+2,58+2,61+2,59+2,59+2,59+2,61+2,60+2,60+2,60+2,63+2,62+2,62+2,62+2,63+2,65+2,63+2,63+2,63+2,65+2,65+2,62+2,62+2,62+2,65+2,11.0,16.14705331169639,132.112254368425
3,1912,0,0,24.0,24.0,3788749.0,908.0,16041.0,Patrik Hrošovský,,13.0,False,0.0,Substitute,15.0,244791.0,P. Hrošovský,Patrik Hrošovský,1992-04-22,26.0,175.26,69.9,"CM,CDM",Slovakia,74.0,77.0,7000000.0,1000.0,Right,1.0,3.0,3.0,High/ High,Lean,15900000.0,Viktoria Plzeň,72.0,LDM,17.0,2014-01-01,2021,,,,,63.0,61.0,52.0,77.0,44.0,70.0,52.0,42.0,76.0,70.0,60.0,68.0,61.0,72.0,77.0,56.0,50.0,81.0,53.0,69.0,53.0,71.0,66.0,72.0,44.0,66.0,62.0,70.0,65.0,13.0,14.0,9.0,6.0,12.0,,"Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only)",63+2,63+2,63+2,67+2,67+2,67+2,67+2,67+2,70+2,70+2,70+2,69+2,72+2,72+2,72+2,69+2,69+2,70+2,70+2,70+2,69+2,68+2,63+2,63+2,63+2,68+2,15.0,14.653746289674556,87.92247773804733
4,2001,0,0,26.0,26.0,3788761.0,908.0,11383.0,László Bénes,,11.0,False,0.0,Substitute,20.0,234728.0,L. Bénes,László Bénes,1997-09-09,21.0,154.94,72.1,"CAM,CM",Slovakia,69.0,80.0,1800000.0,9000.0,Left,1.0,3.0,3.0,Medium/ Medium,Normal,,Holstein Kiel,69.0,SUB,25.0,,"Jun 30, 2019",,,,,74.0,62.0,38.0,76.0,75.0,68.0,76.0,72.0,63.0,71.0,67.0,64.0,76.0,58.0,78.0,69.0,59.0,58.0,56.0,72.0,49.0,28.0,63.0,69.0,50.0,56.0,35.0,33.0,47.0,12.0,10.0,9.0,9.0,9.0,,,62+2,62+2,62+2,68+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,67+2,63+2,63+2,63+2,67+2,55+2,52+2,52+2,52+2,55+2,51+2,44+2,44+2,44+2,51+2,5.0,4.198460344749758,75.57228620549566
5,1455,0,0,9.0,9.0,3753999.0,23.0,7745.0,Steven Berghuis,,20.0,False,0.0,Substitute,26.0,225953.0,S. Bergwijn,Steven Bergwijn,1997-10-08,21.0,152.4,78.0,"LW,RW",Netherlands,80.0,86.0,20500000.0,18000.0,Right,1.0,2.0,4.0,Medium/ Medium,Stocky,32800000.0,PSV,76.0,LW,17.0,2014-07-01,2022,Netherlands,81.0,SUB,22.0,73.0,74.0,55.0,76.0,67.0,87.0,76.0,66.0,53.0,84.0,88.0,89.0,79.0,71.0,89.0,78.0,71.0,78.0,79.0,74.0,44.0,30.0,77.0,75.0,59.0,76.0,47.0,31.0,26.0,11.0,14.0,12.0,14.0,13.0,#Dribbler,"Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",76+2,76+2,76+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,61+2,55+2,55+2,55+2,61+2,56+2,49+2,49+2,49+2,56+2,16.0,11.530449715054306,64.85877964718047
6,1950,0,0,12.0,12.0,3788752.0,780.0,10327.0,Rafael Alexandre Fernandes Ferreira da Silva,Rafa Silva,15.0,False,0.0,Substitute,25.0,216547.0,Rafa,Rafael Alexandre Fernandes Ferreira da Silva,1993-05-17,25.0,172.72,66.2,"RW,LW",Portugal,80.0,83.0,18500000.0,17000.0,Right,2.0,4.0,4.0,High/ Medium,Lean,38400000.0,Portugal,82.0,SUB,15.0,,,SL Benfica,79.0,LM,27.0,77.0,68.0,46.0,75.0,64.0,86.0,76.0,56.0,64.0,84.0,91.0,93.0,88.0,81.0,89.0,75.0,58.0,78.0,40.0,61.0,41.0,43.0,79.0,77.0,59.0,77.0,23.0,38.0,31.0,9.0,11.0,11.0,12.0,8.0,"#Speedster,#Dribbler,#Acrobat","Beat Offside Trap,Flair,Speed Dribbler (CPU AI Only)",72+2,72+2,72+2,80+2,78+2,78+2,78+2,80+2,78+2,78+2,78+2,80+2,72+2,72+2,72+2,80+2,63+2,56+2,56+2,56+2,63+2,59+2,44+2,44+2,44+2,59+2,25.0,16.447508486630518,59.21103055186987
7,765,0,0,20.0,20.0,266794.0,1042.0,11603.0,Mario Pašalić,,24.0,True,15.0,Left Center Midfield,93.0,223273.0,M. Pašalić,Mario Pašalić,1995-02-09,24.0,187.96,83.0,"CM,CDM",Croatia,76.0,83.0,10500000.0,71000.0,Right,1.0,4.0,4.0,High/ High,Lean,,Atalanta,76.0,LCM,88.0,,"Jun 30, 2019",,,,,68.0,66.0,65.0,78.0,69.0,77.0,69.0,59.0,74.0,79.0,60.0,66.0,69.0,74.0,54.0,77.0,69.0,78.0,78.0,75.0,76.0,72.0,70.0,74.0,61.0,74.0,61.0,72.0,64.0,11.0,13.0,13.0,13.0,14.0,,,71+2,71+2,71+2,72+2,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,75+2,75+2,75+2,72+2,71+2,73+2,73+2,73+2,71+2,69+2,70+2,70+2,70+2,69+2,10.0,6.439137581558414,57.95223823402573
8,7,0,0,6.0,6.0,15946.0,217.0,5477.0,Ousmane Dembélé,,11.0,True,16.0,Left Midfield,76.0,231443.0,O. Dembélé,Ousmane Dembélé,1997-05-15,21.0,152.4,67.1,"RW,LW",France,84.0,92.0,46000000.0,170000.0,Left,3.0,5.0,4.0,High/ Low,Lean,103500000.0,FC Barcelona,86.0,LW,11.0,2017-08-28,2022,France,84.0,SUB,11.0,81.0,78.0,43.0,79.0,76.0,91.0,82.0,64.0,70.0,83.0,94.0,93.0,90.0,82.0,85.0,83.0,59.0,76.0,52.0,76.0,54.0,36.0,79.0,84.0,75.0,82.0,42.0,30.0,33.0,6.0,6.0,14.0,10.0,13.0,"#Speedster,#Dribbler,#Acrobat","Injury Prone,Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",76+3,76+3,76+3,84+3,82+3,82+3,82+3,84+3,82+3,82+3,82+3,83+3,75+3,75+3,75+3,83+3,64+3,58+3,58+3,58+3,64+3,59+3,47+3,47+3,47+3,59+3,5.0,3.2186959833443467,57.93652770019824
9,1724,0,0,23.0,23.0,3788741.0,909.0,12293.0,Kaan Ayhan,,22.0,False,0.0,Substitute,30.0,207790.0,K. Ayhan,Kaan Ayhan,1994-11-10,24.0,182.88,83.9,"CB,CDM",Turkey,75.0,79.0,7500000.0,22000.0,Right,1.0,4.0,3.0,High/ Medium,Normal,14100000.0,Fortuna Düsseldorf,73.0,RCB,5.0,2016-08-31,2021,Turkey,76.0,SUB,18.0,68.0,35.0,69.0,74.0,41.0,64.0,82.0,74.0,71.0,68.0,65.0,66.0,67.0,75.0,64.0,83.0,86.0,68.0,77.0,71.0,75.0,74.0,50.0,65.0,47.0,75.0,75.0,76.0,73.0,16.0,10.0,8.0,14.0,10.0,,"Leadership,Power Header,Takes Finesse Free Kicks",61+2,61+2,61+2,63+2,63+2,63+2,63+2,63+2,64+2,64+2,64+2,64+2,68+2,68+2,68+2,64+2,71+2,72+2,72+2,72+2,71+2,71+2,74+2,74+2,74+2,71+2,93.0,58.77462725451764,56.87867153662997
