,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_contribution_value,statistic_rating_contribution_value
0,2806,0,0,14.0,14.0,3857257.0,776.0,24547.0,Alexander Hartmann Bah,Alexander Bah,26.0,False,0.0,Substitute,53.0,245235.0,A. Bah,Alexander Hartmann Bah,1997-12-09,21.0,182.88,76.2,"RM,ST",Denmark,63.0,75.0,650000.0,2000.0,Right,1.0,3.0,3.0,High/ High,Lean,943000.0,SønderjyskE,64.0,RES,9.0,2018-08-07,2023,,,,,57.0,54.0,54.0,53.0,47.0,64.0,46.0,39.0,33.0,57.0,84.0,79.0,73.0,70.0,63.0,53.0,51.0,74.0,64.0,47.0,76.0,47.0,63.0,61.0,52.0,62.0,52.0,42.0,48.0,6.0,12.0,12.0,9.0,13.0,,"Dives Into Tackles (CPU AI Only),Speed Dribbler (CPU AI Only)",59+2,59+2,59+2,62+2,61+2,61+2,61+2,62+2,59+2,59+2,59+2,61+2,54+2,54+2,54+2,61+2,58+2,53+2,53+2,53+2,58+2,57+2,53+2,53+2,53+2,57+2,6.0,22.311433584330572,334.6715037649586
1,1181,0,0,7.0,7.0,3753973.0,33.0,3957.0,César Azpilicueta Tanco,César Azpilicueta,28.0,True,6.0,Left Back,101.0,184432.0,Azpilicueta,César Azpilicueta Tanco,1989-08-28,29.0,152.4,76.2,"RB,CB",Spain,86.0,86.0,35000000.0,175000.0,Right,3.0,3.0,2.0,Medium/ Medium,Normal,64800000.0,Chelsea,83.0,RB,28.0,2012-08-24,2022,Spain,85.0,SUB,14.0,81.0,46.0,76.0,81.0,51.0,69.0,68.0,58.0,80.0,77.0,76.0,76.0,72.0,88.0,73.0,68.0,76.0,87.0,71.0,60.0,82.0,89.0,62.0,74.0,66.0,78.0,88.0,90.0,86.0,13.0,9.0,10.0,6.0,5.0,"#Tackling ,#Tactician ","Long Throw-in,Injury Free,Early Crosser,Long Passer (CPU AI Only),Team Player",67+3,67+3,67+3,71+3,70+3,70+3,70+3,71+3,72+3,72+3,72+3,74+3,77+3,77+3,77+3,74+3,83+3,83+3,83+3,83+3,83+3,84+3,83+3,83+3,83+3,84+3,45.0,53.37105963083202,106.74211926166404
2,1741,0,0,14.0,14.0,3788742.0,776.0,18722.0,Mathias Jensen,,24.0,False,0.0,Substitute,54.0,229723.0,M. Jensen,Mathias Jensen,1996-01-01,23.0,172.72,68.0,CM,Denmark,75.0,81.0,9000000.0,19000.0,Right,1.0,4.0,3.0,Medium/ Medium,Lean,20700000.0,RC Celta,77.0,SUB,18.0,2018-08-08,2023,,,,,63.0,65.0,50.0,76.0,50.0,73.0,63.0,66.0,75.0,74.0,74.0,74.0,87.0,74.0,79.0,71.0,72.0,87.0,63.0,69.0,65.0,59.0,69.0,80.0,69.0,80.0,76.0,63.0,54.0,5.0,13.0,10.0,8.0,12.0,,"Flair,Long Passer (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",67+2,67+2,67+2,72+2,72+2,72+2,72+2,72+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,73+2,69+2,70+2,70+2,70+2,69+2,67+2,64+2,64+2,64+2,67+2,34.0,26.07846658440852,69.0312350763755
3,3,0,0,2.0,2.0,15946.0,217.0,5211.0,Jordi Alba Ramos,Jordi Alba,18.0,True,6.0,Left Back,92.0,189332.0,Jordi Alba,Jordi Alba Ramos,1989-03-21,29.0,170.18,68.0,LB,Spain,87.0,87.0,38000000.0,250000.0,Left,3.0,3.0,3.0,High/ Medium,Normal,77900000.0,FC Barcelona,86.0,LB,18.0,2012-07-01,2024,Spain,85.0,LB,18.0,87.0,73.0,70.0,84.0,60.0,80.0,80.0,63.0,74.0,84.0,93.0,93.0,90.0,83.0,85.0,64.0,81.0,91.0,61.0,66.0,77.0,84.0,80.0,76.0,59.0,82.0,74.0,84.0,84.0,13.0,15.0,13.0,6.0,13.0,"#Speedster,#Crosser,#Acrobat",Beat Offside Trap,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,180.0,118.40964582967783,59.204822914838914
4,1763,0,0,7.0,7.0,3788743.0,782.0,5632.0,Thorgan Hazard,,16.0,True,8.0,Left Wing Back,95.0,203486.0,T. Hazard,Thorgan Hazard,1993-03-29,25.0,175.26,68.9,"RW,LW,CF",Belgium,83.0,84.0,31000000.0,47000.0,Right,2.0,3.0,4.0,Medium/ Medium,Lean,55000000.0,Borussia Mönchengladbach,79.0,RW,10.0,2015-07-01,2020,Belgium,85.0,SUB,16.0,79.0,76.0,38.0,82.0,80.0,87.0,83.0,79.0,73.0,84.0,86.0,77.0,91.0,82.0,84.0,78.0,60.0,77.0,62.0,78.0,57.0,41.0,84.0,83.0,81.0,77.0,30.0,47.0,38.0,6.0,9.0,7.0,7.0,8.0,"#Dribbler,#Acrobat","Flair,Technical Dribbler (CPU AI Only)",75+2,75+2,75+2,82+2,81+2,81+2,81+2,82+2,82+2,82+2,82+2,81+2,77+2,77+2,77+2,81+2,65+2,62+2,62+2,62+2,65+2,60+2,50+2,50+2,50+2,60+2,35.0,20.426249867495763,52.52464251641768
5,160,0,0,16.0,16.0,16073.0,212.0,5199.0,Jorge Resurrección Merodio,Koke,6.0,True,12.0,Right Midfield,96.0,193747.0,Koke,Jorge Resurrección Merodio,1992-01-08,27.0,175.26,73.9,"LM,CM,RM",Spain,85.0,85.0,41500000.0,88000.0,Right,3.0,4.0,3.0,High/ High,Normal,85100000.0,Atlético Madrid,84.0,RM,6.0,2011-01-01,2019,Spain,85.0,SUB,8.0,86.0,72.0,61.0,89.0,56.0,80.0,85.0,76.0,87.0,85.0,71.0,68.0,74.0,87.0,82.0,84.0,63.0,92.0,77.0,81.0,76.0,72.0,82.0,87.0,59.0,84.0,73.0,73.0,64.0,14.0,12.0,5.0,10.0,13.0,"#Playmaker  ,#Engine,#Crosser,#Complete Midfielder","Playmaker (CPU AI Only),Team Player",77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,82+3,84+3,84+3,84+3,82+3,78+3,80+3,80+3,80+3,78+3,76+3,72+3,72+3,72+3,76+3,35.0,20.19485388623835,51.929624278898615
6,121,0,0,6.0,6.0,16023.0,207.0,6583.0,Carlos Soler Barragán,Carlos Soler,8.0,True,12.0,Right Midfield,93.0,234153.0,Carlos Soler,Carlos Soler Barragán,1997-01-02,22.0,154.94,76.2,"RM,CM",Spain,80.0,87.0,21000000.0,31000.0,Right,1.0,4.0,4.0,Medium/ Medium,Lean,48300000.0,Valencia CF,80.0,RM,8.0,2015-07-01,2021,,,,,79.0,74.0,56.0,84.0,66.0,80.0,69.0,82.0,77.0,82.0,75.0,77.0,75.0,80.0,73.0,77.0,59.0,78.0,65.0,73.0,49.0,68.0,76.0,83.0,73.0,76.0,60.0,65.0,56.0,6.0,14.0,7.0,13.0,11.0,,Early Crosser,74+2,74+2,74+2,78+2,78+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,79+2,73+2,71+2,71+2,71+2,73+2,70+2,64+2,64+2,64+2,70+2,42.0,22.884683110665776,49.03860666571238
7,168,0,0,25.0,25.0,16073.0,212.0,6765.0,Rodrigo Hernández Cascante,Rodri,14.0,True,13.0,Right Center Midfield,96.0,231866.0,Rodri,Rodrigo Hernández Cascante,1996-06-22,22.0,190.5,82.1,"CM,CDM",Spain,82.0,87.0,29000000.0,59000.0,Right,1.0,3.0,4.0,Medium/ Medium,Lean,61600000.0,Atlético Madrid,84.0,RCM,14.0,2018-07-01,2023,Spain,85.0,SUB,16.0,63.0,64.0,75.0,84.0,59.0,77.0,65.0,54.0,80.0,82.0,70.0,66.0,69.0,80.0,72.0,70.0,69.0,82.0,75.0,76.0,63.0,81.0,75.0,83.0,46.0,83.0,71.0,79.0,74.0,10.0,10.0,7.0,14.0,8.0,,,73+2,73+2,73+2,74+2,76+2,76+2,76+2,74+2,78+2,78+2,78+2,75+2,80+2,80+2,80+2,75+2,76+2,78+2,78+2,78+2,76+2,75+2,75+2,75+2,75+2,75+2,298.0,148.3664201550322,44.80865038239227
8,467,0,0,12.0,12.0,22912.0,38.0,10956.0,Eric Dier,,15.0,False,0.0,Substitute,22.0,202335.0,E. Dier,Eric Dier,1994-01-15,25.0,187.96,89.8,"CDM,CB,CM",England,80.0,84.0,16500000.0,73000.0,Right,2.0,3.0,2.0,Medium/ High,Normal,31800000.0,Tottenham Hotspur,83.0,SUB,15.0,2014-08-02,2021,England,82.0,CDM,4.0,67.0,52.0,82.0,77.0,51.0,65.0,60.0,74.0,78.0,70.0,62.0,68.0,52.0,78.0,38.0,82.0,77.0,78.0,89.0,72.0,91.0,81.0,53.0,67.0,70.0,77.0,82.0,81.0,83.0,11.0,14.0,6.0,13.0,9.0,#Strength,"Dives Into Tackles (CPU AI Only),Power Header",67+2,67+2,67+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,67+2,72+2,72+2,72+2,67+2,75+2,79+2,79+2,79+2,75+2,76+2,81+2,81+2,81+2,76+2,33.0,15.815872804449263,43.134198557588896
9,2914,0,0,31.0,31.0,3857269.0,773.0,50436.0,Fabian Rieder,,25.0,True,17.0,Right Wing,59.0,193222.0,F. Giefer,Fabian Giefer,1990-05-17,28.0,195.58,93.0,GK,Germany,70.0,71.0,1400000.0,10000.0,Right,1.0,1.0,1.0,Medium/ Medium,Normal,2700000.0,FC Augsburg,74.0,RES,13.0,2017-07-01,2021,,,,,11.0,11.0,23.0,32.0,14.0,12.0,16.0,14.0,22.0,22.0,38.0,37.0,43.0,68.0,35.0,24.0,68.0,25.0,74.0,15.0,44.0,18.0,19.0,33.0,21.0,37.0,15.0,12.0,15.0,73.0,64.0,58.0,71.0,72.0,,"Injury Prone,GK Up for Corners,Comes For Crosses",,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,7.469948379264253,42.018459633361424
