,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played
0,0,0,15946,217,3501,Philippe Coutinho Correia,Philippe Coutinho,7,False,0,Substitute,47
1,1,1,15946,217,5203,Sergio Busquets i Burgos,Sergio Busquets,5,True,9,Right Defensive Midfield,84
2,2,2,15946,217,5211,Jordi Alba Ramos,Jordi Alba,18,True,6,Left Back,92
3,3,3,15946,217,5213,Gerard Piqué Bernabéu,Gerard Piqué,3,True,3,Right Center Back,92
4,4,4,15946,217,5246,Luis Alberto Suárez Díaz,Luis Suárez,9,True,22,Right Center Forward,92
5,5,5,15946,217,5470,Ivan Rakitić,,4,True,11,Left Defensive Midfield,92
6,6,6,15946,217,5477,Ousmane Dembélé,,11,True,16,Left Midfield,76
7,7,7,15946,217,5492,Samuel Yves Umtiti,Samuel Umtiti,23,True,5,Left Center Back,92
8,8,8,15946,217,5503,Lionel Andrés Messi Cuccittini,Lionel Messi,10,True,24,Left Center Forward,92
9,9,9,15946,217,6374,Nélson Cabral Semedo,Nélson Semedo,2,True,2,Right Back,45
10,10,10,15946,217,6379,Sergi Roberto Carnicer,Sergi Roberto,20,True,12,Right Midfield,92
11,11,11,15946,217,8206,Arturo Erasmo Vidal Pardo,Arturo Vidal,22,False,0,Substitute,8
12,12,12,15946,217,11392,Arthur Henrique Ramos de Oliveira Melo,Arthur,8,False,0,Substitute,16
13,13,13,15946,217,20055,Marc-André ter Stegen,Marc-André ter Stegen,1,True,1,Goalkeeper,92
14,14,14,15946,206,6566,Borja González Tomás,Borja Bastón,18,False,0,Substitute,25
15,15,15,15946,206,6581,Jonathan Rodríguez Menéndez,Jony,23,True,16,Left Midfield,67
16,16,16,15946,206,6612,Rubén Duarte Sánchez,Rubén Duarte,3,True,6,Left Back,92
17,17,17,15946,206,6613,Rubén Sobrino Pozuelo,Rubén Sobrino,7,True,23,Center Forward,70
18,18,18,15946,206,6615,Víctor Laguardia Cisneros,Víctor Laguardia,5,True,3,Right Center Back,92
19,19,19,15946,206,6617,Ibai Gómez Pérez,Ibai Gómez,11,True,12,Right Midfield,92
20,20,20,15946,206,6618,Martín Aguirregabiria Padilla,Martín Aguirregabiria,21,True,2,Right Back,92
21,21,21,15946,206,6624,Jorge Franco Alviz,Burgui,14,False,0,Substitute,22
22,22,22,15946,206,6626,Mubarak Wakaso,,22,True,13,Right Center Midfield,92
23,23,23,15946,206,6629,Fernando Pacheco Flores,Fernando Pacheco,1,True,1,Goalkeeper,92
24,24,24,15946,206,6632,Manuel Alejandro García Sánchez,Manu García,19,True,15,Left Center Midfield,92
25,25,25,15946,206,6839,Daniel Alejandro Torres Rojas,Dani Torres,16,True,10,Center Defensive Midfield,67
26,26,26,15946,206,6855,Guillermo Alfonso Maripán Loaysa,Guillermo Maripán,6,True,5,Left Center Back,92
27,27,27,15946,206,6935,Adrián Marín Gómez,Adrián Marín,17,False,0,Substitute,25
