,Unnamed: 0.2,Unnamed: 0.1,level_0,dex,index,Unnamed: 0,game_id,team_id,player_id,player_name,nickname,jersey_number,is_starter,starting_position_id,starting_position_name,minutes_played,id,name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),work_rate,body_type,release_clause_euro,club_team,club_rating,club_position,club_jersey_number,club_join_date,contract_end_year,national_team,national_rating,national_team_position,national_jersey_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,freekick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,GK_diving,GK_handling,GK_kicking,GK_positioning,GK_reflexes,tags,traits,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,statistic_minutes_played,statistic_vaep_value,statistic_rating_vaep_value
0,901,27317.0,0.0,0.0,9.0,9.0,3753999.0,23.0,7745.0,Steven Berghuis,,20.0,False,0.0,Substitute,26.0,225953.0,S. Bergwijn,Steven Bergwijn,1997-10-08,21.0,152.4,78.0,"LW,RW",Netherlands,80.0,86.0,20500000.0,18000.0,Right,1.0,2.0,4.0,Medium/ Medium,Stocky,32800000.0,PSV,76.0,LW,17.0,2014-07-01,2022,Netherlands,81.0,SUB,22.0,73.0,74.0,55.0,76.0,67.0,87.0,76.0,66.0,53.0,84.0,88.0,89.0,79.0,71.0,89.0,78.0,71.0,78.0,79.0,74.0,44.0,30.0,77.0,75.0,59.0,76.0,47.0,31.0,26.0,11.0,14.0,12.0,14.0,13.0,#Dribbler,"Flair,Speed Dribbler (CPU AI Only),Technical Dribbler (CPU AI Only)",76+2,76+2,76+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,78+2,69+2,69+2,69+2,78+2,61+2,55+2,55+2,55+2,61+2,56+2,49+2,49+2,49+2,56+2,16.0,0.6405800244247075,3.60326263738898
1,772,34823.0,0.0,0.0,16.0,16.0,3788751.0,770.0,5557.0,Timo Werner,,11.0,False,0.0,Substitute,25.0,212188.0,T. Werner,Timo Werner,1996-03-06,23.0,154.94,74.8,ST,Germany,84.0,87.0,40000000.0,77000.0,Right,3.0,4.0,3.0,High/ Medium,Normal,71000000.0,RB Leipzig,79.0,LS,11.0,2016-07-01,2020,Germany,85.0,RW,9.0,69.0,87.0,77.0,77.0,85.0,83.0,63.0,56.0,55.0,84.0,93.0,93.0,81.0,86.0,76.0,78.0,78.0,83.0,64.0,70.0,63.0,37.0,85.0,61.0,72.0,74.0,39.0,20.0,19.0,9.0,9.0,8.0,15.0,9.0,#Speedster,"Diver,Beat Offside Trap,Speed Dribbler (CPU AI Only)",82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,78+3,78+3,78+3,80+3,70+3,70+3,70+3,80+3,61+3,55+3,55+3,55+3,61+3,57+3,49+3,49+3,49+3,57+3,53.0,0.8987796213186812,1.5262295456354964
2,1320,2027.0,0.0,0.0,23.0,23.0,16095.0,221.0,6782.0,Enis Bardhi,,10.0,True,11.0,Left Defensive Midfield,92.0,209740.0,E. Hajri,Enis Hajri,1983-03-06,36.0,187.96,73.9,"RB,CDM,CB,LB",Tunisia,65.0,65.0,120000.0,2000.0,Right,1.0,4.0,2.0,Medium/ Medium,Lean,192000.0,MSV Duisburg,69.0,RB,3.0,2014-08-27,2019,,,,,61.0,52.0,64.0,62.0,42.0,62.0,37.0,34.0,60.0,61.0,63.0,55.0,59.0,67.0,59.0,57.0,70.0,70.0,78.0,45.0,80.0,68.0,55.0,57.0,59.0,61.0,64.0,66.0,63.0,13.0,13.0,8.0,9.0,8.0,,Long Throw-in,58+2,58+2,58+2,59+2,58+2,58+2,58+2,59+2,58+2,58+2,58+2,60+2,61+2,61+2,61+2,60+2,63+2,65+2,65+2,65+2,63+2,63+2,67+2,67+2,67+2,63+2,155.0,2.0119588941342954,1.168234196594107
3,790,33857.0,0.0,0.0,9.0,9.0,3788748.0,942.0,10285.0,Stuart Armstrong,,17.0,True,15.0,Left Center Midfield,67.0,226950.0,L. Armstrong,Luke Armstrong,1996-07-02,22.0,175.26,73.0,ST,England,53.0,63.0,100000.0,6000.0,Right,1.0,3.0,2.0,Medium/ Low,Lean,,Accrington Stanley,63.0,RES,39.0,,"Jun 30, 2019",,,,,30.0,57.0,48.0,41.0,36.0,44.0,43.0,32.0,32.0,49.0,65.0,62.0,72.0,48.0,68.0,55.0,64.0,49.0,56.0,48.0,35.0,15.0,52.0,46.0,61.0,43.0,11.0,21.0,14.0,11.0,13.0,16.0,14.0,13.0,,,51+2,51+2,51+2,49+2,50+2,50+2,50+2,49+2,48+2,48+2,48+2,46+2,41+2,41+2,41+2,46+2,34+2,32+2,32+2,32+2,34+2,33+2,30+2,30+2,30+2,33+2,84.0,0.8941078878469852,0.9579727369789127
4,767,35070.0,0.0,0.0,16.0,16.0,3788752.0,916.0,8407.0,Ádám Szalai,,9.0,True,24.0,Left Center Forward,96.0,184789.0,A. Szalai,Ádám Szalai,1987-12-09,31.0,193.04,89.8,ST,Hungary,76.0,76.0,7500000.0,35000.0,Right,2.0,3.0,3.0,Medium/ Medium,Normal,12800000.0,TSG 1899 Hoffenheim,78.0,SUB,28.0,2014-07-04,2019,Hungary,73.0,ST,9.0,49.0,80.0,84.0,72.0,68.0,69.0,58.0,42.0,48.0,75.0,45.0,46.0,63.0,76.0,59.0,82.0,64.0,65.0,87.0,64.0,74.0,41.0,78.0,65.0,76.0,75.0,31.0,41.0,13.0,14.0,12.0,6.0,16.0,9.0,#Strength,"Diver,Target Forward",74+2,74+2,74+2,67+2,71+2,71+2,71+2,67+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,50+2,55+2,55+2,55+2,50+2,48+2,53+2,53+2,53+2,48+2,121.0,1.031780825838723,0.7674402836816948
5,1240,4999.0,0.0,0.0,8.0,8.0,18242.0,224.0,8217.0,Kingsley Coman,,11.0,False,0.0,Substitute,8.0,213345.0,K. Coman,Kingsley Coman,1996-06-13,22.0,152.4,71.2,"LM,RM,LW,RW",France,83.0,88.0,34500000.0,85000.0,Right,2.0,3.0,5.0,Medium/ Low,Lean,59500000.0,FC Bayern München,85.0,LM,29.0,2015-08-30,2023,,,,,81.0,77.0,52.0,77.0,77.0,88.0,84.0,70.0,63.0,83.0,95.0,93.0,88.0,82.0,84.0,78.0,75.0,76.0,63.0,73.0,36.0,23.0,79.0,75.0,70.0,75.0,29.0,17.0,15.0,5.0,3.0,5.0,3.0,5.0,"#Speedster,#Dribbler,#Acrobat","Injury Prone,Speed Dribbler (CPU AI Only)",77+2,77+2,77+2,82+2,81+2,81+2,81+2,82+2,80+2,80+2,80+2,81+2,71+2,71+2,71+2,81+2,58+2,51+2,51+2,51+2,58+2,53+2,40+2,40+2,40+2,53+2,118.0,0.9740631476743147,0.7429295194126129
6,765,35201.0,0.0,0.0,30.0,30.0,3788752.0,916.0,47435.0,Kevin Varga,,19.0,False,0.0,Substitute,8.0,224933.0,K. Lasagna,Kevin Lasagna,1992-08-10,26.0,185.42,79.8,ST,Italy,77.0,80.0,11500000.0,29000.0,Left,2.0,3.0,3.0,High/ Medium,Lean,20400000.0,Udinese,75.0,LS,15.0,2017-01-14,2023,Italy,83.0,SUB,9.0,60.0,78.0,72.0,66.0,74.0,76.0,66.0,42.0,50.0,79.0,89.0,88.0,81.0,76.0,72.0,72.0,76.0,69.0,69.0,66.0,40.0,30.0,80.0,58.0,66.0,74.0,26.0,20.0,18.0,8.0,14.0,13.0,15.0,15.0,,"Beat Offside Trap,Flair,Speed Dribbler (CPU AI Only)",76+2,76+2,76+2,74+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,72+2,63+2,63+2,63+2,72+2,53+2,48+2,48+2,48+2,53+2,51+2,43+2,43+2,43+2,51+2,8.0,0.06059707647727919,0.6817171103693909
7,1239,5078.0,0.0,0.0,11.0,11.0,18242.0,224.0,20004.0,Paul Pogba,,6.0,True,15.0,Left Center Midfield,96.0,195864.0,P. Pogba,Paul Pogba,1993-03-15,25.0,190.5,83.9,"CM,CAM",France,88.0,91.0,73000000.0,255000.0,Right,4.0,4.0,5.0,High/ Medium,Normal,144200000.0,Manchester United,82.0,LCM,6.0,2016-08-09,2021,France,84.0,RDM,6.0,80.0,75.0,75.0,86.0,85.0,87.0,85.0,82.0,90.0,90.0,71.0,79.0,76.0,82.0,66.0,90.0,83.0,88.0,87.0,82.0,78.0,64.0,82.0,88.0,82.0,87.0,63.0,67.0,67.0,5.0,6.0,2.0,4.0,3.0,"#Dribbler,#Playmaker  ,#Strength,#Complete Midfielder","Flair,Long Passer (CPU AI Only),Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",81+3,81+3,81+3,82+3,83+3,83+3,83+3,82+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,76+3,77+3,77+3,77+3,76+3,74+3,72+3,72+3,72+3,74+3,306.0,2.1392689290278444,0.629196743831719
8,769,34996.0,0.0,0.0,3.0,3.0,3788752.0,780.0,5204.0,Bruno Miguel Borges Fernandes,Bruno Fernandes,11.0,True,19.0,Center Attacking Midfield,89.0,212198.0,Bruno Fernandes,Bruno Miguel Borges Fernandes,1994-09-08,24.0,152.4,68.9,"CAM,CM",Portugal,84.0,88.0,40500000.0,22000.0,Right,2.0,3.0,4.0,High/ High,Lean,84000000.0,Portugal,82.0,SUB,16.0,,,Sporting CP,78.0,LCM,8.0,84.0,74.0,58.0,85.0,84.0,83.0,86.0,85.0,84.0,86.0,79.0,76.0,77.0,84.0,78.0,87.0,72.0,91.0,67.0,88.0,66.0,71.0,81.0,86.0,82.0,84.0,66.0,66.0,57.0,12.0,14.0,15.0,8.0,14.0,"#Engine,#Distance Shooter","Injury Free,Flair,Long Shot Taker (CPU AI Only),Playmaker (CPU AI Only),Technical Dribbler (CPU AI Only)",78+2,78+2,78+2,82+2,82+2,82+2,82+2,82+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,83+2,77+2,76+2,76+2,76+2,77+2,74+2,68+2,68+2,68+2,74+2,153.0,1.0199323036049464,0.5999601785911449
9,749,36503.0,0.0,0.0,15.0,15.0,3788775.0,772.0,31953.0,Eric García Martret,Eric García,12.0,True,3.0,Right Center Back,74.0,192678.0,Kike García,Enrique García Martínez,1989-11-25,29.0,185.42,78.9,ST,Spain,79.0,79.0,13000000.0,32000.0,Right,1.0,4.0,3.0,Medium/ Medium,Normal,27300000.0,SD Eibar,77.0,SUB,17.0,2016-02-03,2021,,,,,56.0,78.0,80.0,72.0,81.0,75.0,42.0,46.0,49.0,80.0,65.0,66.0,65.0,77.0,54.0,82.0,74.0,71.0,79.0,75.0,71.0,37.0,82.0,65.0,70.0,80.0,35.0,34.0,21.0,7.0,9.0,8.0,13.0,13.0,,Target Forward,77+2,77+2,77+2,72+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2,55+2,55+2,55+2,55+2,55+2,52+2,52+2,52+2,52+2,52+2,145.0,0.877355720340347,0.5445656195215948
