,index,Unnamed: 0,player_id,nickname,firstname,lastname,birth_date,player_name,team_id,jersey_number,minutes_played,is_starter,game_id
0,0,0,6165,F. Andone,Florin,Andone,1993-04-11,Florin Andone,11944,0,63,True,1694390
1,1,1,83753,N. Stanciu,Nicolae Claudiu,Stanciu,1993-05-07,Nicolae Claudiu Stanciu,11944,0,74,True,1694390
2,2,2,84017,A. Popa,Adrian,Popa,1988-08-16,Adrian Popa,11944,0,84,True,1694390
3,3,3,83574,C. Tătărușanu,Anton Ciprian,Tătărușanu,1986-02-09,Anton Ciprian Tătărușanu,11944,0,96,True,1694390
4,4,4,33235,B. Stancu,Bogdan Sorin,Stancu,1987-06-28,Bogdan Sorin Stancu,11944,0,96,True,1694390
5,5,5,105330,R. Raț,Răzvan Dincă,Raț,1981-05-26,Răzvan Dincă Raț,11944,0,96,True,1694390
6,6,6,70090,C. Săpunaru,Ionuț Cristian,Săpunaru,1984-04-05,Ionuț Cristian Săpunaru,11944,0,96,True,1694390
7,7,7,83953,O. Hoban,Ovidiu Ştefan,Hoban,1982-12-27,Ovidiu Ştefan Hoban,11944,0,96,True,1694390
8,8,8,83575,V. Chiricheș,Vlad Iulian,Chiricheș,1989-11-14,Vlad Iulian Chiricheș,11944,0,96,True,1694390
9,9,9,84536,D. Grigore,Dragoș,Grigore,1986-09-07,Dragoș Grigore,11944,0,96,True,1694390
10,10,10,83824,M. Pintilii,Mihai Doru,Pintilii,1984-11-09,Mihai Doru Pintilii,11944,0,96,True,1694390
11,11,11,38598,D. Alibec,Denis,Alibec,1991-05-09,Denis Alibec,11944,0,33,False,1694390
12,12,12,83590,A. Chipciu,Alexandru Mihăiță,Chipciu,1989-05-18,Alexandru Mihăiță Chipciu,11944,0,22,False,1694390
13,13,13,20596,G. Torje,Gabriel Andrei,Torje,1989-11-22,Gabriel Andrei Torje,11944,0,12,False,1694390
14,14,14,3682,A. Griezmann,Antoine,Griezmann,1991-03-21,Antoine Griezmann,4418,0,68,True,1694390
15,15,15,7936,P. Pogba,Paul,Pogba,1993-03-15,Paul Pogba,4418,0,79,True,1694390
16,16,16,3276,A. Rami,Adil,Rami,1985-12-27,Adil Rami,4418,0,96,True,1694390
17,17,17,7915,P. Evra,Patrice,Evra,1981-05-15,Patrice Evra,4418,0,96,True,1694390
18,18,18,26010,O. Giroud,Olivier,Giroud,1986-09-30,Olivier Giroud,4418,0,96,True,1694390
19,19,19,25714,D. Payet,Dimitri ,Payet,1987-03-29,Dimitri  Payet,4418,0,92,True,1694390
20,20,20,7858,B. Sagna,Bacary,Sagna,1983-02-14,Bacary Sagna,4418,0,96,True,1694390
21,21,21,7855,L. Koscielny,Laurent,Koscielny,1985-09-10,Laurent Koscielny,4418,0,96,True,1694390
22,22,22,25437,B. Matuidi,Blaise,Matuidi,1987-04-09,Blaise Matuidi,4418,0,96,True,1694390
23,23,23,31528,N. Kanté,N'Golo,Kanté,1991-03-29,N'Golo Kanté,4418,0,96,True,1694390
24,24,24,25381,H. Lloris,Hugo,Lloris,1986-12-26,Hugo Lloris,4418,0,96,True,1694390
25,25,25,231139,K. Coman,Kingsley,Coman,1996-06-13,Kingsley Coman,4418,0,28,False,1694390
26,26,26,134513,A. Martial,Anthony,Martial,1995-12-05,Anthony Martial,4418,0,17,False,1694390
27,27,27,25804,M. Sissoko,Moussa,Sissoko,1989-08-16,Moussa Sissoko,4418,0,4,False,1694390
28,0,0,105619,A. Mehmedi,Admir,Mehmedi,1991-03-16,Admir Mehmedi,6697,0,63,True,1694391
29,1,1,21169,B. Džemaili,Blerim,Džemaili,1986-04-12,Blerim Džemaili,6697,0,77,True,1694391
30,2,2,49872,X. Shaqiri,Xherdan,Shaqiri,1991-10-10,Xherdan Shaqiri,6697,0,89,True,1694391
31,3,3,20465,S. Lichtsteiner,Stephan,Lichtsteiner,1984-01-16,Stephan Lichtsteiner,6697,0,94,True,1694391
32,4,4,14922,R. Rodríguez,Ricardo Iván,Rodríguez Araya,1992-08-25,Ricardo Iván Rodríguez Araya,6697,0,94,True,1694391
33,5,5,20766,H. Seferović,Haris,Seferović,1992-02-22,Haris Seferović,6697,0,94,True,1694391
34,6,6,49855,Y. Sommer,Yann,Sommer,1988-12-17,Yann Sommer,6697,0,94,True,1694391
35,7,7,50102,F. Schär,Fabian Lukas,Schär,1991-12-20,Fabian Lukas Schär,6697,0,94,True,1694391
36,8,8,7850,J. Djourou,Johan Danon,Djourou-Gbadjere,1987-01-18,Johan Danon Djourou-Gbadjere,6697,0,94,True,1694391
37,9,9,20938,V. Behrami,Valon,Behrami,1985-04-19,Valon Behrami,6697,0,94,True,1694391
38,10,10,49876,G. Xhaka,Granit,Xhaka,1992-09-27,Granit Xhaka,6697,0,94,True,1694391
39,11,11,282772,B. Embolo,Breel-Donald,Embolo,1997-02-14,Breel-Donald Embolo,6697,0,31,False,1694391
40,12,12,49869,F. Frei,Fabian,Frei,1989-01-08,Fabian Frei,6697,0,17,False,1694391
41,13,13,20591,G. Fernandes,Gélson da Conceição Tavares,Fernandes,1986-09-02,Gélson da Conceição Tavares Fernandes,6697,0,5,False,1694391
42,14,14,49981,T. Xhaka,Taulant Ragip,Xhaka,1991-03-28,Taulant Ragip Xhaka,8731,0,63,True,1694391
43,15,15,15285,O. Roshi,Odise,Roshi,1991-05-22,Odise Roshi,8731,0,75,True,1694391
44,16,16,50461,A. Sadiku,Armando,Sadiku,1991-05-27,Armando Sadiku,8731,0,83,True,1694391
45,17,17,20555,L. Cana,Lorik Agim,Cana,1983-07-27,Lorik Agim Cana,8731,0,36,True,1694391
46,18,18,92334,A. Agolli,Ansi,Agolli,1982-10-11,Ansi Agolli,8731,0,94,True,1694391
47,19,19,21001,E. Hysaj,Elseid Gëzim,Hysaj,1994-02-20,Elseid Gëzim Hysaj,8731,0,94,True,1694391
48,20,20,50318,E. Lenjani,Ermir,Lenjani,1989-08-05,Ermir Lenjani,8731,0,94,True,1694391
49,21,21,15449,M. Mavraj,Mërgim,Mavraj,1986-06-09,Mërgim Mavraj,8731,0,94,True,1694391
50,22,22,50264,B. Kukeli,Burim,Kukeli,1984-01-16,Burim Kukeli,8731,0,94,True,1694391
51,23,23,49982,A. Abrashi,Amir,Abrashi,1990-03-27,Amir Abrashi,8731,0,94,True,1694391
52,24,24,50849,E. Berisha,Etrit,Berisha,1989-03-10,Etrit Berisha,8731,0,94,True,1694391
53,25,25,93608,E. Kaçe,Ergys,Kaçe,1993-07-08,Ergys Kaçe,8731,0,31,False,1694391
54,26,26,64067,S. Cikalleshi,Sokol,Cikalleshi,1990-07-27,Sokol Cikalleshi,8731,0,19,False,1694391
55,27,27,50072,S. Gashi,Shkëlzen Taib,Gashi,1988-07-15,Shkëlzen Taib Gashi,8731,0,11,False,1694391
56,6,6,83591,A. Prepeliță,Andrei,Prepeliță,1985-12-08,Andrei Prepeliță,11944,0,94,True,1694392
57,7,7,26270,C. Keșerü,Claudiu Andrei,Keșerü,1986-12-02,Claudiu Andrei Keșerü,11944,0,94,True,1694392
58,12,12,84367,S. Filip,Steliano ,Filip,1994-05-15,Steliano  Filip,11944,0,31,False,1694392
59,26,26,49977,M. Lang,Michael,Lang,1991-02-08,Michael Lang,6697,0,10,False,1694392
60,27,27,134911,S. Tarashaj,Shani,Tarashaj,1995-02-07,Shani Tarashaj,6697,0,3,False,1694392
61,13,13,25575,A. Gignac,André-Pierre,Gignac,1985-05-12,André-Pierre Gignac,4418,0,18,False,1694393
62,14,14,93339,A. Lila,Andi,Lila,1986-02-12,Andi Lila,8731,0,72,True,1694393
63,16,16,49857,A. Ajeti,Arlind,Ajeti,1993-09-25,Arlind Ajeti,8731,0,86,True,1694393
64,17,17,22323,L. Memushaj,Ledian,Memushaj,1986-12-07,Ledian Memushaj,8731,0,96,True,1694393
65,27,27,134954,F. Veseli,Frédéric,Veseli,1992-11-20,Frédéric Veseli,8731,0,10,False,1694393
66,16,16,7988,Y. Cabaye,Yohan,Cabaye,1986-01-14,Yohan Cabaye,4418,0,93,True,1694394
67,7,7,83972,A. Mățel,Alexandru,Mățel,1989-10-17,Alexandru Mățel,11944,0,97,True,1694395
68,11,11,83752,L. Sânmărtean,Lucian Iulian,Sânmărtean,1980-03-13,Lucian Iulian Sânmărtean,11944,0,49,False,1694395
69,16,16,21104,M. Basha,Migjen Xhevat,Basha,1987-01-05,Migjen Xhevat Basha,8731,0,85,True,1694395
70,25,25,64078,B. Balaj,Bekim,Balaj,1991-01-11,Bekim Balaj,8731,0,36,False,1694395
71,0,0,8436,D. Edwards,David,Edwards,1986-02-03,David Edwards,10682,0,70,True,1694396
72,1,1,8421,J. Williams,Jonathan,Williams,1993-10-09,Jonathan Williams,10682,0,72,True,1694396
73,2,2,7870,A. Ramsey,Aaron,Ramsey,1990-12-26,Aaron Ramsey,10682,0,89,True,1694396
74,3,3,8831,C. Gunter,Chris,Gunter,1989-07-21,Chris Gunter,10682,0,95,True,1694396
75,4,4,9615,J. Chester,James,Chester,1989-01-23,James Chester,10682,0,95,True,1694396
76,5,5,77544,N. Taylor,Neil,Taylor,1989-02-07,Neil Taylor,10682,0,95,True,1694396
77,6,6,8278,G. Bale,Gareth Frank,Bale,1989-07-16,Gareth Frank Bale,10682,0,95,True,1694396
78,7,7,136509,D. Ward,Danny,Ward,1993-06-22,Danny Ward,10682,0,95,True,1694396
79,8,8,136441,B. Davies,Ben,Davies,1993-04-24,Ben Davies,10682,0,95,True,1694396
80,9,9,77546,A. Williams,Ashley,Williams,1984-08-23,Ashley Williams,10682,0,95,True,1694396
81,10,10,77548,J. Allen,Joe,Allen,1990-03-14,Joe Allen,10682,0,95,True,1694396
82,11,11,61963,J. Ledley,Joe,Ledley,1987-01-23,Joe Ledley,10682,0,25,False,1694396
83,12,12,8686,H. Robson-Kanu,Hal,Robson-Kanu,1989-05-21,Hal Robson-Kanu,10682,0,23,False,1694396
84,13,13,77556,J. Richards,Ashley Darel Jazz,Richards,1991-04-12,Ashley Darel Jazz Richards,10682,0,6,False,1694396
85,14,14,82528,M. Ďuriš,Michal,Ďuriš,1988-06-01,Michal Ďuriš,14496,0,61,True,1694396
86,15,15,144713,P. Hrošovský,Patrik,Hrošovský,1992-04-22,Patrik Hrošovský,14496,0,61,True,1694396
87,16,16,3813,V. Weiss,Vladimír,Weiss,1989-11-30,Vladimír Weiss,14496,0,84,True,1694396
88,17,17,21171,M. Hamšík,Marek,Hamšík,1987-07-27,Marek Hamšík,14496,0,95,True,1694396
89,18,18,7960,M. Škrtel,Martin,Škrtel,1984-12-15,Martin Škrtel,14496,0,95,True,1694396
90,19,19,101616,J. Ďurica,Ján,Ďurica,1981-12-10,Ján Ďurica,14496,0,95,True,1694396
91,20,20,32959,P. Pekarík,Peter,Pekarík,1986-10-30,Peter Pekarík,14496,0,95,True,1694396
92,21,21,65090,D. Švento,Dušan,Švento,1985-08-01,Dušan Švento,14496,0,95,True,1694396
93,22,22,78488,M. Kozáčik,Matúš,Kozáčik,1983-12-27,Matúš Kozáčik,14496,0,95,True,1694396
94,23,23,21285,J. Kucka,Juraj,Kucka,1987-02-26,Juraj Kucka,14496,0,95,True,1694396
95,24,24,15142,R. Mak,Róbert,Mak,1991-03-08,Róbert Mak,14496,0,95,True,1694396
96,25,25,218896,O. Duda,Ondrej,Duda,1994-12-05,Ondrej Duda,14496,0,34,False,1694396
97,26,26,16435,A. Nemec,Adam,Nemec,1985-09-02,Adam Nemec,14496,0,34,False,1694396
98,27,27,32539,M. Stoch,Miroslav,Stoch,1989-10-19,Miroslav Stoch,14496,0,11,False,1694396
99,0,0,257800,A. Golovin,Aleksandr,Golovin,1996-05-30,Aleksandr Golovin,14358,0,77,True,1694397
100,1,1,15022,R. Neustädter,Roman Petrovich,Neustädter,1988-02-18,Roman Petrovich Neustädter,14358,0,80,True,1694397
101,2,2,101707,F. Smolov,Fyodor,Smolov,1990-02-09,Fyodor Smolov,14358,0,85,True,1694397
102,3,3,101825,I. Smolnikov,Igor,Smolnikov,1988-08-08,Igor Smolnikov,14358,0,93,True,1694397
103,4,4,101669,A. Dzyuba,Artem,Dzyuba,1988-08-22,Artem Dzyuba,14358,0,93,True,1694397
104,5,5,101581,V. Berezutski,Vasili,Berezutski,1982-06-20,Vasili Berezutski,14358,0,93,True,1694397
105,6,6,101585,G. Shchennikov,Georgi,Shchennikov,1991-04-27,Georgi Shchennikov,14358,0,93,True,1694397
106,7,7,101856,O. Shatov,Oleg,Shatov,1990-07-29,Oleg Shatov,14358,0,93,True,1694397
107,8,8,101705,A. Kokorin,Aleksandr,Kokorin,1991-03-19,Aleksandr Kokorin,14358,0,93,True,1694397
108,9,9,101576,I. Akinfeev,Igor,Akinfeev,1986-04-08,Igor Akinfeev,14358,0,93,True,1694397
109,10,10,101583,S. Ignashevich,Sergei,Ignashevich,1979-07-14,Sergei Ignashevich,14358,0,93,True,1694397
110,11,11,101568,R. Shirokov,Roman,Shirokov,1981-07-06,Roman Shirokov,14358,0,16,False,1694397
111,12,12,101623,D. Glushakov,Denis,Glushakov,1987-01-27,Denis Glushakov,14358,0,13,False,1694397
112,13,13,101596,P. Mamaev,Pavel,Mamaev,1988-09-17,Pavel Mamaev,14358,0,8,False,1694397
113,14,14,7944,W. Rooney,Wayne,Rooney,1985-10-24,Wayne Rooney,2413,0,78,True,1694397
114,15,15,11066,R. Sterling,Raheem Shaquille,Sterling,1994-12-08,Raheem Shaquille Sterling,2413,0,87,True,1694397
115,16,16,8301,J. Hart,Joe,Hart,1987-04-19,Joe Hart,2413,0,93,True,1694397
116,17,17,210044,E. Dier,Eric ,Dier,1994-01-15,Eric  Dier,2413,0,93,True,1694397
117,18,18,8717,H. Kane,Harry,Kane,1993-07-28,Harry Kane,2413,0,93,True,1694397
118,19,19,7922,C. Smalling,Chris,Smalling,1989-11-22,Chris Smalling,2413,0,93,True,1694397
119,20,20,8140,A. Lallana,Adam,Lallana,1988-05-10,Adam Lallana,2413,0,93,True,1694397
120,21,21,13484,D. Alli,Bamidele,Alli,1996-04-11,Bamidele Alli,2413,0,93,True,1694397
121,22,22,8292,D. Rose,Danny,Rose,1990-07-02,Danny Rose,2413,0,93,True,1694397
122,23,23,8277,K. Walker,Kyle,Walker,1990-05-28,Kyle Walker,2413,0,93,True,1694397
123,24,24,7887,G. Cahill,Gary ,Cahill,1985-12-19,Gary  Cahill,2413,0,93,True,1694397
124,25,25,7873,J. Wilshere,Jack,Wilshere,1992-01-01,Jack Wilshere,2413,0,15,False,1694397
125,26,26,8319,J. Milner,James,Milner,1986-01-04,James Milner,2413,0,6,False,1694397
126,19,19,101555,T. Hubočan,Tomáš,Hubočan,1985-09-17,Tomáš Hubočan,14496,0,94,True,1694398
127,24,24,104867,V. Pečovský,Viktor,Pečovský,1983-05-24,Viktor Pečovský,14496,0,94,True,1694398
128,3,3,8425,W. Hennessey,Wayne ,Hennessey,1987-01-24,Wayne  Hennessey,10682,0,95,True,1694399
129,24,24,7907,D. Sturridge,Daniel,Sturridge,1989-09-01,Daniel Sturridge,2413,0,48,False,1694399
130,25,25,12829,J. Vardy,Jamie,Vardy,1987-01-11,Jamie Vardy,2413,0,48,False,1694399
131,26,26,397178,M. Rashford,Marcus,Rashford,1997-10-31,Marcus Rashford,2413,0,21,False,1694399
132,4,4,7885,R. Bertrand,Ryan,Bertrand,1989-08-05,Ryan Bertrand,2413,0,96,True,1694400
133,6,6,8392,N. Clyne,Nathaniel,Clyne,1991-04-05,Nathaniel Clyne,2413,0,96,True,1694400
134,8,8,7964,J. Henderson,Jordan Brian,Henderson,1990-06-17,Jordan Brian Henderson,2413,0,96,True,1694400
135,26,26,104937,N. Gyömbér,Norbert,Gyömbér,1992-07-03,Norbert Gyömbér,14496,0,28,False,1694400
136,27,27,138408,M. Škriniar,Milan,Škriniar,1995-02-11,Milan Škriniar,14496,0,17,False,1694400
137,3,3,101663,D. Kombarov,Dmitri,Kombarov,1987-01-22,Dmitri Kombarov,14358,0,93,True,1694401
138,11,11,101580,A. Berezutski,Alexei,Berezutski,1982-06-20,Alexei Berezutski,14358,0,46,False,1694401
139,13,13,101699,A. Samedov,Alexandr,Samedov,1984-07-19,Alexandr Samedov,14358,0,22,False,1694401
140,23,23,9127,S. Vokes,Sam,Vokes,1989-10-21,Sam Vokes,10682,0,93,True,1694401
141,26,26,8498,A. King,Andy,King,1988-10-29,Andy King,10682,0,16,False,1694401
142,27,27,8688,S. Church,Simon,Church,1988-12-10,Simon Church,10682,0,9,False,1694401
143,0,0,136704,P. McNair,Paddy,McNair,1995-04-27,Paddy McNair,10962,0,46,True,1694402
144,1,1,7979,S. Ferguson,Shane,Ferguson,1991-02-12,Shane Ferguson,10962,0,66,True,1694402
145,2,2,11131,C. Baird,Chris,Baird,1982-02-25,Chris Baird,10962,0,76,True,1694402
146,3,3,62331,M. McGovern,Michael,McGovern,1984-07-12,Michael McGovern,10962,0,94,True,1694402
147,4,4,62001,K. Lafferty,Kyle,Lafferty,1987-09-16,Kyle Lafferty,10962,0,94,True,1694402
148,5,5,8797,C. McLaughlin,Conor,McLaughlin,1991-07-26,Conor McLaughlin,10962,0,94,True,1694402
149,6,6,8773,O. Norwood,Oliver,Norwood,1991-04-12,Oliver Norwood,10962,0,94,True,1694402
150,7,7,8362,G. McAuley,Gareth,McAuley,1979-12-05,Gareth McAuley,10962,0,94,True,1694402
151,8,8,9403,C. Cathcart,Craig,Cathcart,1989-02-06,Craig Cathcart,10962,0,94,True,1694402
152,9,9,7914,J. Evans,Jonny,Evans,1988-01-02,Jonny Evans,10962,0,94,True,1694402
153,10,10,61988,S. Davis,Steven,Davis,1985-01-01,Steven Davis,10962,0,94,True,1694402
154,11,11,80019,S. Dallas,Stuart,Dallas,1991-04-19,Stuart Dallas,10962,0,48,False,1694402
155,12,12,234710,C. Washington,Conor,Washington,1992-05-18,Conor Washington,10962,0,28,False,1694402
156,13,13,8989,J. Ward,Jamie,Ward,1986-05-12,Jamie Ward,10962,0,18,False,1694402
157,14,14,99446,K. Mączyński,Krzysztof,Mączyński,1987-05-23,Krzysztof Mączyński,13869,0,78,True,1694402
158,15,15,14804,J. Błaszczykowski,Jakub,Błaszczykowski,1985-12-14,Jakub Błaszczykowski,13869,0,80,True,1694402
159,16,16,269189,B. Kapustka,Bartosz,Kapustka,1996-12-23,Bartosz Kapustka,13869,0,88,True,1694402
160,17,17,25537,G. Krychowiak,Grzegorz,Krychowiak,1990-01-29,Grzegorz Krychowiak,13869,0,94,True,1694402
161,18,18,99381,A. Jędrzejczyk,Artur,Jędrzejczyk,1987-11-04,Artur Jędrzejczyk,13869,0,94,True,1694402
162,19,19,99438,M. Pazdan,Michał,Pazdan,1987-09-21,Michał Pazdan,13869,0,94,True,1694402
163,20,20,99452,A. Milik,Arkadiusz,Milik,1994-02-28,Arkadiusz Milik,13869,0,94,True,1694402
164,21,21,21097,K. Glik,Kamil,Glik,1988-02-03,Kamil Glik,13869,0,94,True,1694402
165,22,22,14817,R. Lewandowski,Robert,Lewandowski,1988-08-21,Robert Lewandowski,13869,0,94,True,1694402
166,23,23,14798,Ł. Piszczek,Łukasz,Piszczek,1985-06-03,Łukasz Piszczek,13869,0,94,True,1694402
167,24,24,7849,W. Szczęsny,Wojciech ,Szczęsny,1990-04-18,Wojciech  Szczęsny,13869,0,94,True,1694402
168,25,25,99462,T. Jodłowiec,Tomasz,Jodłowiec,1985-09-08,Tomasz Jodłowiec,13869,0,16,False,1694402
169,26,26,33032,K. Grosicki,Kamil,Grosicki,1988-06-08,Kamil Grosicki,13869,0,14,False,1694402
170,27,27,15282,S. Peszko,Sławomir,Peszko,1985-02-19,Sławomir Peszko,13869,0,6,False,1694402
